Date,Visitor,G,Home,G,,Att.,LOG,Notes
2021-11-07,Nashville Predators,1,Chicago Blackhawks,2,OT,16891,2:19,
2021-11-07,Vegas Golden Knights,2,Detroit Red Wings,5,,16598,2:24,
2021-11-07,New York Islanders,2,Minnesota Wild,5,,15547,2:17,
2021-11-07,Dallas Stars,3,Vancouver Canucks,6,,18661,2:25,
2021-11-08,Florida Panthers,3,New York Rangers,4,,14877,2:29,
2021-11-08,Los Angeles Kings,5,Toronto Maple Leafs,1,,18983,2:28,
2021-11-08,Buffalo Sabres,3,Washington Capitals,5,,18573,2:24,
2021-11-09,Ottawa Senators,2,Boston Bruins,3,,17850,2:35,
2021-11-09,San Jose Sharks,4,Calgary Flames,1,,14960,2:31,
2021-11-09,Pittsburgh Penguins,2,Chicago Blackhawks,3,SO,17736,2:41,
2021-11-09,Edmonton Oilers,2,Detroit Red Wings,4,,16953,2:25,
2021-11-09,Los Angeles Kings,3,Montreal Canadiens,2,OT,20042,2:41,
2021-11-09,Florida Panthers,3,New Jersey Devils,7,,10627,2:27,
2021-11-09,Carolina Hurricanes,2,Tampa Bay Lightning,1,OT,19092,2:37,
2021-11-09,Anaheim Ducks,3,Vancouver Canucks,2,OT,18201,2:27,
2021-11-09,Seattle Kraken,2,Vegas Golden Knights,4,,18246,2:26,
2021-11-09,St. Louis Blues,3,Winnipeg Jets,2,SO,14004,2:34,
2021-11-10,Minnesota Wild,5,Arizona Coyotes,2,,13488,2:23,
2021-11-10,Nashville Predators,4,Dallas Stars,2,,17560,2:22,
2021-11-10,Toronto Maple Leafs,3,Philadelphia Flyers,0,,17997,2:33,
2021-11-11,Edmonton Oilers,5,Boston Bruins,3,,17850,2:25,
2021-11-11,Vancouver Canucks,1,Colorado Avalanche,7,,17226,2:23,
2021-11-11,Washington Capitals,2,Detroit Red Wings,0,,16812,2:25,
2021-11-11,Calgary Flames,2,Montreal Canadiens,4,,20399,2:27,
2021-11-11,New York Islanders,0,New Jersey Devils,4,,13816,2:24,
2021-11-11,Los Angeles Kings,2,Ottawa Senators,0,,8221,2:22,
2021-11-11,Florida Panthers,2,Pittsburgh Penguins,3,SO,17194,2:39,
2021-11-11,Anaheim Ducks,7,Seattle Kraken,4,,17151,2:26,
2021-11-11,Nashville Predators,4,St. Louis Blues,3,OT,18096,2:31,
2021-11-11,Minnesota Wild,2,Vegas Golden Knights,3,,18267,2:26,
2021-11-11,San Jose Sharks,1,Winnipeg Jets,4,,14229,2:20,
2021-11-12,Edmonton Oilers,2,Buffalo Sabres,3,,8258,2:34,
2021-11-12,Philadelphia Flyers,2,Carolina Hurricanes,1,,18680,2:36,
2021-11-12,Washington Capitals,4,Columbus Blue Jackets,3,,16985,2:24,
2021-11-12,Arizona Coyotes,1,Chicago Blackhawks,2,,17828,2:32,
2021-11-12,Calgary Flames,1,Toronto Maple Leafs,2,OT,18826,2:29,
2021-11-13,Toronto Maple Leafs,5,Buffalo Sabres,4,,7992,2:21,
2021-11-13,St. Louis Blues,2,Carolina Hurricanes,3,,18680,2:22,
2021-11-13,New York Rangers,5,Columbus Blue Jackets,3,,15539,2:29,
2021-11-13,San Jose Sharks,2,Colorado Avalanche,6,,18015,2:28,
2021-11-13,Philadelphia Flyers,2,Dallas Stars,5,,18532,2:31,
2021-11-13,Montreal Canadiens,2,Detroit Red Wings,3,OT,18076,2:39,
2021-11-13,Boston Bruins,5,New Jersey Devils,2,,16514,2:30,
